PassengerID,BookingDate,Status,Cost,TicketNumber
350720111,2009-05-20 20:56:37,Pending,5665.74,2458
713579477,2003-12-09 07:56:37,Pending,6181.68,2491
230784866,2020-01-15 06:19:41,Pending,4028.06,2557
657192681,2014-03-24 01:11:04,Cancelled,5229.84,2878
285537370,2016-01-28 03:41:26,Pending,5918.79,2106
252817700,2004-04-28 05:50:03,Confirmed,8337.01,902
582109806,2014-01-03 09:44:22,Cancelled,7443.25,1399
178282866,2018-02-03 18:32:45,Pending,3067.26,370
864591498,2008-08-24 08:40:42,Pending,3192.26,2926
975557821,2010-08-15 12:12:30,Confirmed,6260.7,2196
236684225,2016-03-05 23:23:39,Confirmed,7361.63,2143
249486745,2007-07-15 15:07:08,Cancelled,6322.99,1729
668655113,2003-08-31 03:34:01,Confirmed,4793.45,1980
145809700,2003-04-23 19:30:15,Cancelled,4992.49,381
609464556,2011-02-17 05:04:10,Complete,4294.33,982
382235146,2015-04-26 13:00:55,Cancelled,8481.48,2352
984555375,2018-10-20 18:44:37,Confirmed,9463.38,813
836472256,2004-06-04 07:58:22,Pending,1367.69,2024
686354136,2019-06-25 02:39:04,Confirmed,5256.54,2929
240569896,2017-10-23 13:29:08,Pending,2638.51,188
444103448,2000-03-18 17:15:16,Pending,6480.13,845
812629977,2010-06-21 13:41:25,Pending,4167.34,265
634623544,2012-08-20 11:39:33,Cancelled,7529.38,1886
652147157,2022-05-22 12:50:24,Pending,1053.09,242
889278939,2003-07-26 22:32:35,Pending,9564.66,1641
926156420,2009-06-12 16:22:28,Complete,4649.57,1239
325786114,2003-09-28 09:13:45,Complete,1237.57,2652
954336444,2016-03-21 23:57:17,Cancelled,6072.71,438
632057793,2021-03-16 22:45:40,Cancelled,5446.71,1582
935006608,2001-03-08 15:07:24,Pending,8615.63,1164
583019344,2004-11-14 11:31:53,Confirmed,8806.92,783
277863277,2020-11-28 00:07:42,Pending,3302.76,1603
978696531,2022-08-06 09:07:21,Confirmed,4239.52,2896
148059171,2021-05-27 21:58:20,Cancelled,6378.73,1778
936075900,2008-07-23 03:18:03,Confirmed,8071.85,2247
173013077,2014-10-13 23:42:05,Confirmed,5991.07,1672
314286798,2014-02-05 08:25:07,Complete,859.54,3097
365884263,2019-07-21 13:28:57,Complete,705.84,1202
941135762,2013-03-19 00:01:51,Pending,3062.62,2240
140202015,2010-06-22 22:17:00,Complete,5111.97,2875
918250466,2008-10-17 23:46:10,Confirmed,3277.98,2666
170758121,2000-04-05 08:56:31,Confirmed,4739.86,1116
579037640,2022-07-31 11:13:12,Complete,9279.73,2100
355574369,2005-02-11 17:01:19,Complete,3161.91,2076
629825791,2021-10-17 17:50:54,Pending,2824.96,1953
203133634,2016-02-28 10:14:45,Confirmed,7423.45,2530
499590553,2017-08-29 02:59:29,Confirmed,3545.44,2536
957205316,2006-06-11 20:04:17,Cancelled,204.1,2930
931853571,2013-11-19 11:13:03,Pending,7028.57,638
310993322,2009-09-22 16:54:54,Cancelled,208.35,1812
848301248,2010-03-01 15:11:24,Confirmed,9135.72,1847
685536719,2022-06-25 11:34:11,Complete,8577.97,1782
863106309,2020-04-25 03:49:10,Complete,8534.22,477
902881192,2016-02-04 11:15:59,Confirmed,6348.76,1769
122583359,2002-09-09 06:24:11,Confirmed,2607.29,2654
556830875,2004-02-20 22:50:45,Confirmed,9260.59,2807
989807687,2020-07-23 12:43:41,Pending,415.89,2629
404176988,2000-05-08 15:36:03,Pending,5016.13,838
284096271,2021-10-02 15:45:41,Confirmed,9670.83,1426
594709133,2008-10-03 01:54:00,Confirmed,6615.26,1183
782752140,2010-11-07 19:39:20,Complete,1226.88,1674
737390474,2020-12-16 17:00:59,Complete,1626.38,645
970741966,2000-04-04 01:02:27,Confirmed,3107.9,2431
344131746,2004-07-03 11:48:23,Confirmed,683.63,2938
449432101,2005-08-01 03:42:39,Complete,8933.9,526
610865288,2004-05-04 09:47:21,Cancelled,1254.57,1557
474799406,2002-12-14 07:49:58,Confirmed,549.67,1703
423340828,2007-05-22 04:04:27,Complete,8137.3,268
950728097,2018-08-26 09:02:05,Complete,6739.83,286
140259940,2008-01-25 21:47:38,Confirmed,3578.72,2853
377894239,2004-08-09 04:43:38,Confirmed,5835.98,1808
275591927,2016-02-14 05:25:34,Cancelled,3420.83,2384
825046027,2020-08-04 11:39:55,Confirmed,8302.61,1113
537631958,2007-02-17 15:47:18,Pending,4033.75,729
475798670,2018-06-10 04:10:46,Confirmed,5795.5,603
534010050,2001-02-05 13:25:56,Cancelled,1831.18,1675
983425964,2013-05-04 01:04:41,Cancelled,9880.85,534
806727152,2014-08-21 10:01:57,Pending,3841.95,1181
251480241,2016-09-01 07:12:49,Cancelled,7859.27,750
930156448,2005-01-18 23:53:25,Confirmed,3614.73,1277
442668051,2022-12-08 13:16:43,Cancelled,7298.45,2203
330668093,2004-03-14 20:03:04,Complete,7794.56,1508
789883750,2007-04-22 09:12:11,Cancelled,5928.54,217
719603730,2009-12-13 03:15:25,Complete,1025.36,2485
659763164,2002-09-13 08:59:38,Complete,5907.43,2683
453077337,2009-06-01 18:00:44,Complete,8719.45,1988
307416808,2019-02-10 14:36:45,Pending,863.71,1403
888396316,2005-11-19 09:16:24,Complete,5936.56,217
985150297,2016-09-16 21:16:06,Cancelled,5662.28,3071
939044718,2015-01-03 23:26:19,Cancelled,9884.95,2650
508946759,2021-05-31 23:05:53,Cancelled,1582.55,2809
566799664,2022-08-13 21:13:28,Pending,7631.35,1105
490589535,2015-10-30 09:31:40,Confirmed,9525.6,2089
668221349,2010-04-30 07:13:49,Cancelled,7704.19,1681
900353367,2021-08-11 20:58:19,Cancelled,9989.06,1223
988616113,2014-04-21 04:08:26,Pending,7780.82,1257
575144075,2015-09-29 09:23:09,Cancelled,7773.68,198
195602268,2000-11-25 22:41:42,Complete,8561.95,2348
972547414,2017-07-12 19:42:39,Cancelled,7453.46,3012
925307243,2017-12-13 23:35:25,Pending,5120.74,2004
964353433,2008-03-16 13:27:54,Complete,8815.59,1648
291838054,2014-12-14 20:44:12,Pending,538.76,2446
466712857,2010-09-27 02:52:34,Confirmed,7467.82,1319
689267384,2015-10-10 21:54:33,Confirmed,1470.13,111
468151856,2019-04-12 14:39:00,Cancelled,1580.25,753
898343710,2002-01-26 09:31:16,Pending,8656.94,1806
780639395,2011-07-16 14:20:58,Pending,9584.6,1422
929130430,2014-10-03 09:02:26,Confirmed,5513.69,2784
788494790,2022-04-30 00:48:53,Confirmed,5797.18,1593
879348118,2017-02-01 07:50:38,Complete,8695.16,3019
824806539,2012-05-11 20:44:13,Confirmed,6583.88,228
685412366,2013-09-03 02:32:16,Pending,7103.61,2988
406758221,2001-12-10 10:40:11,Confirmed,600.88,2834
739464035,2003-01-11 07:45:28,Pending,3510.28,536
356599182,2014-06-21 10:59:30,Cancelled,3892.52,2876
356750675,2022-06-21 22:10:56,Confirmed,6487.04,2209
208483783,2002-11-12 05:08:44,Pending,771.2,1756
513740484,2011-05-15 14:51:16,Pending,7771.27,1184
226562733,2020-10-12 02:44:45,Complete,6878.82,2900
681839983,2006-09-04 11:26:54,Complete,3101.37,417
554405069,2020-10-12 00:14:25,Confirmed,6726.61,2869
875745375,2022-01-16 00:01:00,Pending,3720.91,951
909654356,2017-07-08 11:35:41,Confirmed,7295.39,702
808574648,2014-01-03 23:54:18,Pending,9891.35,144
168572630,2020-08-06 05:33:45,Complete,9804.54,487
332311555,2000-03-23 22:59:01,Confirmed,744.84,3009
150604767,2016-12-28 03:47:50,Complete,2118.83,358
469938951,2011-12-12 22:33:14,Complete,9735.84,3033
631953170,2000-10-07 15:20:01,Pending,6972.03,1355
764838884,2009-01-08 10:38:31,Confirmed,4069.87,128
298944201,2009-06-27 22:24:34,Pending,5256.42,1541
657385925,2010-06-11 20:18:08,Complete,6783.75,725
409284915,2014-09-29 10:12:04,Complete,3217.75,527
878669471,2000-09-17 01:43:14,Complete,8798.21,1557
634382430,2022-09-27 06:45:18,Confirmed,7999.45,974
663769925,2005-10-05 17:51:26,Pending,4376.6,232
762954676,2003-08-03 23:11:10,Cancelled,4104.72,1665
168263403,2020-11-25 04:36:31,Cancelled,8392.38,1351
338055500,2006-04-09 06:08:20,Confirmed,734.28,2149
267287993,2004-06-01 18:02:23,Cancelled,3815.64,730
864013062,2010-10-09 05:43:14,Cancelled,1061.15,1211
273833749,2000-10-16 00:43:32,Pending,6377.97,1950
287852142,2002-01-03 17:33:01,Pending,1077.04,1508
671056879,2001-06-23 19:52:13,Complete,5551.6,1058
630030167,2010-10-09 05:49:05,Complete,8663.73,2530
651868568,2008-01-02 20:27:21,Confirmed,1399.71,2907
377700314,2000-07-04 06:37:32,Complete,4178.87,767
318943131,2014-02-17 12:11:25,Cancelled,3842.59,1598
703610813,2022-11-20 15:16:18,Confirmed,4083.34,295
695439734,2000-11-09 14:03:52,Complete,7486.19,324
566746647,2019-02-02 12:09:35,Pending,5604.72,2102
199611692,2009-12-14 23:11:53,Confirmed,6142.17,2512
197644434,2011-03-25 23:04:32,Confirmed,2150.49,568
531445598,2015-10-21 20:36:47,Confirmed,2498.15,1043
640971931,2006-10-17 05:04:17,Cancelled,4022.84,1022
242048498,2004-10-08 03:32:42,Pending,8911.1,523
311882176,2021-09-19 12:12:48,Pending,6962.62,1690
803165520,2002-04-10 21:55:40,Complete,9024.41,522
795159555,2010-12-31 09:16:07,Confirmed,429.32,816
710845698,2014-01-17 10:16:36,Cancelled,4786.7,2121
