FlightNumber,MarketingAirline,Restrictions
2784,Airways,Business
2814,BlueSkyAirlines,None
2190,CrystalSkyAirways,None
1405,SkyHavenAirways,StandByOnly
2872,PeakAir,Business
1600,EvergreenAirlines,None
2959,GoldenEagle,Business
2149,HorizonWings,StandByOnly
2908,PeakAir,None
2843,CrystalSkyAirways,Business
1174,BlueSkyAirlines,None
1287,StarJetAirlines,None
1659,OceanAirways,StandByOnly
2599,SummitAirlines,Business
2521,OceanAirways,StandByOnly
1331,PacificBreezeAirlines,StandByOnly
2195,SummitAirlines,None
2024,SwiftWings,None
3002,SilverArrow,Business
1996,WingStar,None
1758,HorizonWings,Business
1052,PeakAir,Business
2546,PacificBreezeAirlines,StandByOnly
2895,PeakAir,None
2851,EvergreenAirlines,None
1117,AeroLink,StandByOnly
2668,SwiftWings,None
1176,PacificBreezeAirlines,Business
1848,PeakAir,None
2545,SunAirInternational,StandByOnly
1224,AeroLink,Business
1117,EvergreenAirlines,StandByOnly
2616,EvergreenAirlines,None
2343,Express,Business
2730,HorizonWings,None
2070,SunAirInternational,Business
1982,AirWave,Business
1029,SwiftWings,StandByOnly
2090,AirLuxe,StandByOnly
1115,GoldenEagle,StandByOnly
1766,GoldenEagle,Business
3058,BlueSkyAirlines,StandByOnly
1908,SwiftWings,None
2953,WingStar,Business
1159,AeroLink,Business
1894,OceanAirways,Business
2976,PacificBreezeAirlines,StandByOnly
1547,WingStar,None
2570,CrystalSkyAirways,StandByOnly
2164,GoldenEagle,Business
1224,Airways,Business
2808,SkyHavenAirways,Business
2886,Airways,Business
2903,UnityAirways,None
2550,StarJetAirlines,Business
2337,SummitAirlines,None
1388,Airways,Business
1626,PacificBreezeAirlines,Business
1413,BlueSkyAirlines,StandByOnly
1452,CrystalSkyAirways,Business
2405,SwiftWings,Business
2046,Express,Business
2293,UnityAirways,Business
1508,AeroLink,Business
2058,Airways,Business
1392,PeakAir,Business
2483,UnityAirways,StandByOnly
2530,OceanAirways,Business
1666,Airways,StandByOnly
1360,HorizonWings,StandByOnly
2859,AirLuxe,None
1768,CrystalSkyAirways,Business
2931,CrystalSkyAirways,None
2328,Airways,StandByOnly
1279,Airways,None
3052,StarJetAirlines,Business
1635,WingStar,Business
1394,Airways,Business
2301,AeroLink,StandByOnly
1817,StarJetAirlines,Business
2918,SwiftWings,None
1857,SunAirInternational,None
2079,SummitAirlines,StandByOnly
1817,AeroLink,None
2957,BlueSkyAirlines,Business
1539,SilverArrow,Business
1075,EvergreenAirlines,StandByOnly
2986,AirLuxe,None
2048,PeakAir,None
3049,SunAirInternational,None
1904,EvergreenAirlines,StandByOnly
2310,UnityAirways,None
1369,CrystalSkyAirways,None
2247,PeakAir,StandByOnly
2887,PacificBreezeAirlines,StandByOnly
2643,MirageAir,StandByOnly
2490,PacificBreezeAirlines,StandByOnly
1781,AirLuxe,Business
1801,OceanAirways,StandByOnly
2372,CrystalSkyAirways,StandByOnly
2683,HorizonWings,StandByOnly
1609,AirLuxe,Business
1851,WingStar,None
2695,AirLuxe,Business
1958,PacificBreezeAirlines,StandByOnly
3064,Airways,StandByOnly
2036,PacificBreezeAirlines,None
3077,AirWave,StandByOnly
2224,SilverArrow,None
2393,BlueSkyAirlines,Business
2185,AirWave,None
1478,BlueSkyAirlines,None
2349,SkyHavenAirways,StandByOnly
2153,EvergreenAirlines,None
2012,OceanAirways,Business
1629,SkyHavenAirways,StandByOnly
2919,PacificBreezeAirlines,None
2127,SilverArrow,None
2449,BlueSkyAirlines,StandByOnly
2420,OceanAirways,None
2902,WingStar,StandByOnly
2115,SunAirInternational,Business
1909,AirLuxe,None
2245,UnityAirways,StandByOnly
1551,EvergreenAirlines,StandByOnly
1359,SwiftWings,StandByOnly
2763,GoldenEagle,Business
2495,UnityAirways,None
2337,Airways,None
2232,HorizonWings,Business
1511,EvergreenAirlines,StandByOnly
2580,Express,StandByOnly
2323,SummitAirlines,None
2107,AeroLink,None
1368,UnityAirways,StandByOnly
2191,BlueSkyAirlines,Business
1814,SwiftWings,None
2784,BlueSkyAirlines,StandByOnly
1880,GoldenEagle,Business
1640,BlueSkyAirlines,None
1878,SkyHavenAirways,Business
2452,UnityAirways,StandByOnly
2648,SunAirInternational,StandByOnly
2011,PacificBreezeAirlines,StandByOnly
2902,Express,StandByOnly
2817,GoldenEagle,Business
1055,AirWave,StandByOnly
2781,OceanAirways,StandByOnly
1965,AeroLink,StandByOnly
1830,SkyHavenAirways,StandByOnly
2737,EvergreenAirlines,None
1034,AeroLink,Business
1253,BlueSkyAirlines,StandByOnly
1659,MirageAir,Business
2038,MirageAir,StandByOnly
2336,WingStar,None
1540,MirageAir,None
2644,SwiftWings,None
2093,WingStar,Business
1732,PeakAir,StandByOnly
1468,UnityAirways,StandByOnly
2886,WingStar,Business
1368,WingStar,None
1060,AeroLink,None
2640,StarJetAirlines,Business
1782,AirWave,None
1035,SunAirInternational,StandByOnly
2677,MirageAir,None
1476,HorizonWings,StandByOnly
2857,CrystalSkyAirways,StandByOnly
1647,SwiftWings,None
2942,CrystalSkyAirways,None
2119,HorizonWings,StandByOnly
3021,SilverArrow,None
2981,Express,Business
1185,Express,Business
1770,PeakAir,StandByOnly
2757,SilverArrow,Business
2875,SwiftWings,None
1076,OceanAirways,Business
2141,SwiftWings,StandByOnly
1268,AirLuxe,None
1141,BlueSkyAirlines,StandByOnly
2550,PeakAir,Business
1661,GoldenEagle,StandByOnly
2244,AirWave,Business
1512,BlueSkyAirlines,StandByOnly
3005,StarJetAirlines,StandByOnly
1279,Express,StandByOnly
1195,BlueSkyAirlines,None
2253,UnityAirways,StandByOnly
2140,Airways,StandByOnly
1896,AeroLink,None
1647,UnityAirways,None
2841,BlueSkyAirlines,StandByOnly
1672,SummitAirlines,StandByOnly
2258,AeroLink,StandByOnly
2531,CrystalSkyAirways,Business
2341,SwiftWings,None
1729,AeroLink,None
2890,AeroLink,None
2888,UnityAirways,Business
2893,EvergreenAirlines,StandByOnly
3032,GoldenEagle,None
2573,PeakAir,StandByOnly
1068,Airways,StandByOnly
2242,PacificBreezeAirlines,Business
2060,AirLuxe,Business
1856,SummitAirlines,StandByOnly
1390,AeroLink,Business
1869,AeroLink,StandByOnly
2285,PeakAir,None
1100,SwiftWings,None
2020,SkyHavenAirways,Business
2643,AirLuxe,Business
1039,AeroLink,Business
2581,PacificBreezeAirlines,StandByOnly
1863,AirLuxe,StandByOnly
1986,PacificBreezeAirlines,None
2776,Airways,None
1870,MirageAir,StandByOnly
2081,Airways,None
2262,PacificBreezeAirlines,StandByOnly
2609,AirWave,None
2277,GoldenEagle,Business
3003,HorizonWings,StandByOnly
2257,AirLuxe,None
1916,SummitAirlines,None
2267,WingStar,None
1682,Express,None
2505,HorizonWings,Business
1086,GoldenEagle,None
1379,MirageAir,None
2338,OceanAirways,None
1996,BlueSkyAirlines,None
1812,PeakAir,StandByOnly
1484,Express,StandByOnly
2887,SunAirInternational,None
2941,GoldenEagle,None
2807,BlueSkyAirlines,None
1470,SunAirInternational,Business
1488,AeroLink,None
1518,HorizonWings,Business
1535,GoldenEagle,Business
2081,SwiftWings,Business
2741,PeakAir,StandByOnly
2234,AeroLink,StandByOnly
1992,Express,Business
2730,HorizonWings,StandByOnly
1706,SilverArrow,None
2763,StarJetAirlines,Business
2729,GoldenEagle,None
1914,PeakAir,Business
2811,GoldenEagle,None
1057,CrystalSkyAirways,None
2282,Express,StandByOnly
2852,SkyHavenAirways,Business
2602,AirWave,Business
1359,SilverArrow,None
1903,StarJetAirlines,StandByOnly
2438,GoldenEagle,None
2972,WingStar,Business
1444,OceanAirways,Business
2044,EvergreenAirlines,Business
2781,Express,None
1812,SkyHavenAirways,StandByOnly
2640,AirLuxe,StandByOnly
2393,SwiftWings,Business
2631,UnityAirways,StandByOnly
2832,PeakAir,None
1521,SummitAirlines,None
1494,BlueSkyAirlines,None
1810,SilverArrow,StandByOnly
1823,AirLuxe,StandByOnly
1995,SunAirInternational,Business
1606,EvergreenAirlines,Business
2739,SilverArrow,None
1679,SunAirInternational,None
1957,SummitAirlines,StandByOnly
1852,GoldenEagle,Business
2870,SkyHavenAirways,Business
1373,UnityAirways,StandByOnly
2406,SummitAirlines,StandByOnly
1567,EvergreenAirlines,None
2778,SummitAirlines,StandByOnly
2402,GoldenEagle,None
1971,UnityAirways,None
2971,HorizonWings,None
2278,SunAirInternational,StandByOnly
2281,SwiftWings,None
1146,PeakAir,Business
2460,SwiftWings,StandByOnly
2779,UnityAirways,StandByOnly
1225,AeroLink,Business
1521,Airways,StandByOnly
2037,UnityAirways,Business
1695,UnityAirways,StandByOnly
1197,SunAirInternational,Business
1626,SwiftWings,Business
1120,CrystalSkyAirways,Business
2181,AeroLink,StandByOnly
