DepartureLocation,ArrivalLocation,DepartureTime,ArrivalTime,Capacity
Gizo,Stan-Bekhtemir,2022-09-28 17:33:30,2022-01-28 22:39:52,210
Sanjiao,Kubangwaru,2022-04-16 21:55:17,2022-09-10 04:59:52,333
Cantaura,Karangwungu Lor,2022-11-05 04:12:37,2022-02-12 18:03:01,192
Shangtang,Dimitrov,2022-09-06 20:28:29,2022-07-14 17:42:45,312
Matanzas,Dongsheng,2022-06-22 22:46:51,2022-03-12 10:22:10,480
Nova Odessa,Torreira,2022-07-05 10:16:37,2022-02-17 18:00:57,188
Arauco,Kerek,2022-01-04 01:26:27,2022-10-31 20:59:56,272
El Sombrero,Likupang,2022-08-07 08:37:02,2022-08-01 20:39:00,223
Velká nad Veličkou,Uchaly,2022-10-26 11:02:34,2022-07-05 03:46:59,338
Potelych,Libertad,2022-11-05 08:29:49,2022-10-07 02:52:27,373
Hikkaduwa,Chumphon Buri,2022-04-22 02:26:18,2022-10-08 20:19:58,222
Voorburg,Pršovce,2022-05-14 08:16:45,2022-05-29 22:28:17,347
Dailekh,Campbellton,2022-06-07 19:33:10,2022-07-18 06:04:33,340
Cigintung,Fanzeres,2022-12-05 11:17:48,2022-11-04 12:04:28,491
Mizhuang,Bacuyangan,2022-04-24 21:43:48,2022-11-24 04:32:03,440
Ryazan’,Roi Et,2022-09-14 12:43:09,2022-11-11 14:26:01,442
Nowa Dęba,Xylaganí,2022-08-24 14:36:43,2022-03-22 19:52:10,491
Rodhítsa,Pithári,2022-06-14 15:18:11,2022-09-03 09:29:38,308
Camatagua,Zelenogorsk,2022-02-22 23:41:40,2022-05-18 16:54:05,289
Dagkar,Fenais da Luz,2022-05-12 07:12:09,2022-09-28 14:41:02,474
Tambawel,Laimuda,2022-10-20 12:43:10,2022-09-07 21:05:24,465
Kedawung,Salas,2022-06-29 21:29:58,2022-11-01 10:04:42,273
Tanjung Raja,Huansheng,2022-11-21 02:43:16,2022-06-29 17:17:12,320
Torino,Hushan,2022-07-11 15:10:20,2022-10-03 23:54:19,220
Vitali,Paupanda Bawah,2022-04-27 10:24:20,2022-01-21 22:53:16,406
Yeghvard,La Ligua,2022-09-26 18:58:57,2022-02-05 10:51:07,368
Urbano Noris,Longgao,2022-09-08 16:24:18,2022-11-30 00:05:14,326
Pinheiros,Abéché,2022-02-02 09:59:53,2022-07-29 15:15:46,240
Pontivy,Pamplona/Iruña,2022-05-28 21:51:25,2022-12-09 01:13:49,192
Litian,Placer,2022-03-10 19:12:49,2022-08-25 10:37:15,434
Xiaopingba,La Cruz de Taratara,2022-10-22 11:09:27,2022-10-31 01:42:29,210
Kumba,Guanzhou,2022-03-06 13:10:35,2022-12-05 11:35:46,511
Shengshan,Terangun,2022-10-19 15:19:28,2022-01-27 16:30:27,328
Jaquimeyes,Kelowna,2022-08-17 22:09:54,2022-11-14 06:19:36,234
Paulba,Mo I Rana,2022-10-11 21:34:50,2022-03-15 05:37:07,243
Fundación,Rabat,2022-11-08 04:36:58,2022-04-15 09:21:01,252
Mulandoro,Jaraguá do Sul,2022-06-04 23:30:32,2022-01-28 09:08:56,533
Aksarka,Sangba,2022-08-22 21:39:26,2022-11-24 18:14:13,381
Komyshnya,Cái Dầu,2022-09-06 15:03:18,2022-12-12 06:33:58,252
Dong’an,Sumberjo,2022-07-01 06:50:28,2022-08-02 08:19:00,451
Los Angeles,Babakanbandung,2022-03-14 01:41:13,2022-03-21 03:57:40,458
Garupá,Jobabo,2022-08-03 21:56:15,2022-06-06 19:37:47,391
Lelystad,Xiaocun,2022-10-09 09:12:19,2022-03-28 20:51:54,417
Markowa,Inazawa,2022-02-22 09:05:57,2022-06-01 09:20:07,198
Papatowai,Lagoa de Albufeira,2022-05-24 18:39:56,2022-10-29 11:20:32,217
Néma,Narvacan,2022-12-04 07:26:56,2022-12-28 04:59:25,442
Kon Dơng,Moriyama,2022-06-02 01:49:48,2022-06-11 07:45:39,272
Göteborg,Thị Trấn Tân Yên,2022-08-02 02:31:38,2022-06-17 16:15:37,280
Budapest,Taungdwingyi,2022-02-02 01:35:52,2022-05-23 08:07:22,264
Hamburg Harvestehude,San Miguel,2022-01-11 13:19:32,2022-10-10 00:14:00,289
Fushan,Eskilstuna,2022-03-20 11:34:19,2022-04-01 13:17:51,374
Luobuqiongzi,Guayabo Dulce,2022-03-15 15:56:24,2022-08-01 14:59:52,531
Seattle,Pamplona,2022-11-23 21:20:38,2022-11-06 07:39:07,202
Amiens,Pingxiang,2022-10-27 02:35:14,2022-12-23 19:23:19,220
Nanggela,Ulricehamn,2022-04-27 17:09:54,2022-03-27 18:25:04,245
Masākin,Manogay,2022-07-01 10:02:57,2022-12-08 13:04:27,469
Otra Banda,Qingxi,2022-04-07 17:05:04,2022-09-19 01:53:24,519
Atsugi,Gardanne,2022-02-02 21:45:46,2022-08-21 01:43:56,268
Watublapi,Yarumal,2022-03-08 03:21:31,2022-06-22 23:36:58,283
La Cañada,Richard-Toll,2022-08-30 03:35:51,2022-12-15 02:12:20,310
Mayo,Abreu e Lima,2022-01-01 07:14:54,2022-08-03 11:13:16,286
Hengjian,Rouen,2022-08-02 03:35:42,2022-03-23 21:10:20,271
Chelu,Candelaria,2022-03-03 13:30:46,2022-09-01 23:42:32,539
Ughelli,Krajan Siki,2022-06-12 12:25:33,2022-12-24 11:44:25,266
Taurisma,Hankha,2022-12-15 20:32:11,2022-01-25 00:42:21,366
Triandría,Phonphisai,2022-06-16 05:48:01,2022-05-18 16:26:00,382
Oslo,Kokopo,2022-09-01 03:27:53,2022-08-01 12:43:03,231
La Ravoire,Sicheng,2022-04-03 09:10:28,2022-06-11 00:59:02,226
Waerana,Andradas,2022-01-03 04:40:00,2022-08-29 04:31:57,453
Wanying,Samaro,2022-08-16 04:50:57,2022-07-28 21:28:06,430
Bordeaux,Pinhal da Marquesa,2022-04-14 18:18:04,2022-05-17 07:00:04,389
Klana,Bayamo,2022-08-13 09:17:33,2022-05-01 21:03:02,330
Xinshi,Paldiski,2022-11-06 08:43:57,2022-05-01 13:12:11,454
Luodian,Picassinos,2022-09-22 16:01:31,2022-03-10 16:00:16,189
Şaqānis,San Jose,2022-10-01 19:24:49,2022-09-08 04:45:59,273
Shebunino,Danbury,2022-06-02 11:24:12,2022-06-25 22:22:22,210
Złoty Stok,Xinshidu,2022-10-07 21:01:46,2022-09-13 20:49:29,460
Tromsø,Soledar,2022-02-24 21:07:29,2022-11-10 09:54:33,502
Parada de Todeia,Shangxing,2022-02-23 20:59:45,2022-09-12 08:10:42,442
Birigui,Pontevedra,2022-11-17 14:28:45,2022-01-22 04:56:06,475
Vila Chã,Desakolot,2022-08-22 19:13:43,2022-05-10 18:19:55,479
Mobara,Ojo de Agua,2022-03-23 09:31:10,2022-07-03 21:09:53,330
Zapatero,Tanjungampalu,2022-12-20 12:12:23,2022-10-06 19:10:17,253
Lampari,Qingshan,2022-03-18 01:04:38,2022-11-07 01:29:14,515
Lete,Klapagada,2022-01-28 12:57:22,2022-09-25 10:39:23,391
Pelem,Nueve de Julio,2022-03-30 21:33:25,2022-06-04 19:34:36,468
Gorzyczki,Ishurdi,2022-04-29 17:53:40,2022-11-17 01:46:29,282
Angkimang,Fornelos,2022-09-14 17:50:19,2022-09-29 06:58:52,301
Cái Nhum,Cipesing,2022-07-21 17:12:34,2022-06-07 15:21:11,434
Kafir Yasif,San Pedro de Atacama,2022-08-20 15:34:41,2022-08-03 07:45:19,392
Futaleufú,Taoxi,2022-10-01 03:41:47,2022-12-06 18:45:59,449
Phu Kradueng,Jaboticabal,2022-10-25 09:46:14,2022-06-24 08:09:54,293
Danao,Dongjie,2022-03-07 18:38:45,2022-09-15 08:30:30,329
Akoupé,Longshe,2022-06-04 08:42:28,2022-07-18 22:47:48,287
Rangmanten,Huanchaco,2022-08-02 19:21:34,2022-08-11 04:41:33,491
Yonkers,Carpiquet,2022-03-09 19:18:20,2022-05-16 10:24:55,308
Kaltan,Murcki,2022-12-06 03:22:55,2022-05-21 09:45:37,316
Peyima,Bosanski Brod,2022-09-15 01:12:14,2022-06-10 18:18:31,317
Jocotán,Krasnokholm,2022-12-11 17:39:15,2022-06-22 21:15:34,522
Pancalan,Danauparis,2022-08-26 10:52:50,2022-08-04 07:24:26,202
Zhangcunping,Smederevo,2022-11-28 19:23:37,2022-05-19 16:07:44,299
Azilal,Ipubi,2022-11-06 01:28:14,2022-08-02 16:45:47,273
Monte Aprazível,Huicungo,2022-03-18 10:02:09,2022-09-16 01:46:01,415
Pālang,Nanyuki,2022-01-23 05:57:27,2022-03-08 21:24:38,247
Xishan,Boston,2022-06-07 11:43:34,2022-08-30 02:04:03,449
Karata,Njurunda,2022-11-10 18:22:15,2022-06-05 08:38:29,215
Vetluzhskiy,Jenzan,2022-04-04 12:28:42,2022-01-06 17:22:15,377
Brandfort,Senhor da Serra,2022-02-11 04:57:12,2022-04-28 18:31:58,349
Yashkul’,Stryszawa,2022-06-26 04:23:33,2022-04-17 08:01:58,268
Woshui,Youlan,2022-05-21 00:48:37,2022-10-12 03:45:05,219
Zhutian,Mingjiu,2022-07-02 16:43:52,2022-01-22 21:09:11,254
Wujia,Saidpur,2022-04-10 18:23:25,2022-03-04 21:23:20,237
Limanowa,Basel,2022-06-26 12:25:39,2022-07-06 11:08:37,451
Daqian,Patique,2022-07-25 18:11:58,2022-07-11 23:18:31,230
Reims,Northern Suburbs Mc,2022-10-01 09:16:44,2022-05-20 18:38:35,313
Pecatu,Lumbayan,2022-05-22 22:46:06,2022-01-16 13:53:54,248
Wadung,Muararupit,2022-10-08 04:02:47,2022-04-27 10:26:18,351
München,Chinju,2022-10-07 22:43:50,2022-01-04 09:18:33,499
Omaha,Pag-asa,2022-02-21 11:42:16,2022-07-10 19:52:08,392
Gevgelija,Poá,2022-11-27 04:45:15,2022-07-24 11:20:49,373
Jinbi,Mayumba,2022-03-16 13:14:11,2022-03-16 05:14:29,334
Huomachong,Ta Phraya,2022-07-26 12:51:54,2022-11-18 01:13:52,509
Tongyu,Presidencia Roque Sáenz Peña,2022-09-22 12:56:28,2022-01-04 12:20:25,200
Janja,Wangyi Zhendian,2022-07-27 11:31:56,2022-06-19 07:53:10,402
Pavlohrad,Chivhu,2022-04-26 03:04:48,2022-10-08 02:47:58,247
Silago,Kopong,2022-09-30 08:58:48,2022-03-16 18:40:15,513
Rado,Zhengji,2022-06-15 14:35:01,2022-07-07 17:19:32,207
Yên Bái,Oeoh,2022-12-11 07:44:02,2022-07-28 01:49:55,474
Řehlovice,Vân Tùng,2022-01-27 22:47:22,2022-09-07 11:39:52,234
Tashkent,Tabatinga,2022-04-13 17:32:18,2022-08-08 09:13:49,384
Pingpo,Jieting,2022-08-30 00:19:07,2022-04-25 08:50:19,242
Bunirasa,Nurlat,2022-06-26 05:11:11,2022-02-12 07:28:46,257
Aqqan,Balun,2022-04-04 10:14:58,2022-02-15 18:13:21,422
Flor da Mata,Babakankiray,2022-03-12 17:35:43,2022-10-05 20:02:08,286
Arwād,Murów,2022-10-05 18:06:46,2022-12-28 09:38:00,494
Jiangchang,Tucson,2022-08-11 13:46:54,2022-11-07 00:09:26,392
A dos Cunhados,La Loma,2022-03-03 04:11:31,2022-07-27 14:46:42,520
Şabrātah,Patitírion,2022-08-13 12:32:41,2022-09-09 19:30:28,460
Kaputian,Alexandroúpoli,2022-08-24 11:12:36,2022-05-14 06:16:10,274
Bedinje,Galtek,2022-09-30 11:44:48,2022-08-12 06:37:25,431
Nakano,Laolong,2022-02-25 15:26:25,2022-08-05 20:07:07,180
Okazaki,Mayong,2022-02-23 19:36:22,2022-03-16 13:38:03,330
Sirnasari,Banga,2022-09-03 06:45:29,2022-11-24 06:02:54,346
Gävle,Banjar Bias,2022-08-16 10:53:34,2022-03-31 23:03:24,336
Leping,Randuboto,2022-06-14 13:40:12,2022-08-24 04:30:20,523
Xingtan,Český Těšín,2022-10-27 12:34:24,2022-01-10 04:53:49,491
Água Retorta,Brignoles,2022-09-05 21:17:59,2022-01-24 07:27:21,497
Winschoten,Dębno,2022-11-06 20:19:46,2022-05-05 13:38:36,290
