FlightNumber,SeatNumber
2281,20H
1237,44C
1678,34K
2533,00A
1284,53F
2579,41D
1197,58K
2500,11G
1210,24A
2556,07B
1017,00D
2341,33H
1210,28D
2777,35G
2205,47B
2274,15A
2925,11J
2251,22B
2718,41A
1066,49G
1149,25H
2278,58A
1556,51B
1917,24J
1164,05A
1652,11K
1374,02C
1119,55C
2532,38H
2919,39H
2308,50C
2008,42D
2410,12A
2544,00C
1768,46H
2341,09F
1253,46D
1329,14D
2235,33A
1983,32G
1884,49H
1283,25D
1642,28K
2744,25K
2155,17B
2679,39J
2592,55B
1084,49F
2252,19A
2865,24H
1629,27F
1072,36F
2568,40B
1005,07J
1551,19F
2903,30J
2196,47A
2170,07A
2598,55F
2696,38K
2416,39F
2475,27A
1474,04A
2500,10J
1676,36B
1971,33G
1037,55B
1935,40F
1949,56H
2760,48B
2396,07H
1116,27K
2568,32C
2947,23D
1358,59G
1554,01D
2638,36F
2154,33F
2738,25C
1219,43J
2662,47A
1325,29K
1156,48D
1529,06B
2598,43B
2858,27A
2867,00A
1005,12G
2539,50B
1867,54A
2980,10J
2722,49B
1753,33G
2482,22C
2144,14C
2949,17A
1935,15B
1125,32C
1563,43G
1256,38B
2644,50D
2902,13F
2356,13G
1378,56B
1367,20F
1829,16F
2608,49H
2684,15K
1871,16B
1472,40H
2132,23A
2272,53H
2841,08J
1563,03J
2400,13B
2172,52B
1779,41J
2253,33D
1824,04C
1764,20A
2762,04K
1241,52K
2635,20A
2797,43J
1846,06C
1641,28C
2651,09G
2504,17D
2276,32B
2220,20J
1500,26J
1722,06K
1593,47F
1568,54G
2113,29K
2835,39C
2098,41J
2377,47A
2758,04D
1589,32F
1338,25H
1540,58F
2607,43F
2684,48K
1731,57G
2706,51C
2968,31H
1549,34F
1090,06H
2554,33J
1636,26C
1541,10G
1089,01J
2339,11D
2905,53F
1218,02B
2595,26D
2810,45J
2443,46A
2778,24B
2915,08A
1504,07G
1275,43H
2864,23G
1881,02H
1078,25K
1733,20D
2378,32D
1024,57K
1168,57F
1922,06F
2338,34F
2908,30K
1715,58B
2170,09D
2803,29B
1635,01C
1949,51C
2760,19H
1454,47A
1893,30B
2790,18J
1980,55A
1027,19A
1348,33G
2188,12A
1035,26G
2785,03F
2333,38D
1220,54J
1765,42G
1900,18C
2032,47G
1305,41C
1782,00K
2115,14B
2822,47J
1600,44F
2886,41K
1071,43D
2914,30A
1681,08D
1830,27H
2857,34G
1263,26C
1273,52C
2341,58A
2051,58H
2226,44F
2208,50A
1170,06C
2420,19J
2896,35B
1236,35D
1663,47B
2437,22G
1207,02H
2478,06K
2422,20F
3000,02K
1193,49K
1057,14J
1215,02H
2813,57H
2403,41H
1702,03D
1802,12K
2495,58B
2347,04D
2765,10K
1003,13D
2118,45D
1156,54A
1822,33B
1108,58J
2123,19K
1161,11D
2880,24D
2325,40A
2785,26K
2253,37C
2438,04A
1060,40H
2574,06G
2627,39B
2086,02G
1366,24D
2245,04D
2182,52B
2008,36A
2585,07J
1545,55C
1428,08C
2422,23A
1685,52J
1518,01G
1023,03K
1346,05K
2400,18A
2563,10D
2485,55B
1480,39J
2250,10F
2473,48H
1855,19B
1343,18D
2540,51A
2327,58D
2178,12J
1447,20A
1899,23G
2070,45B
2792,51D
2555,07B
1676,46K
1606,52B
2426,48H
1896,53A
1638,34K
1968,59D
1128,40A
2980,30F
2322,30C
1140,42A
2368,31F
1222,39B
2685,39C
1125,45A
2503,32A
2786,40C
2859,56A
2525,29K
1968,16C
1404,53A
2587,32K
1747,43J
2846,23H
2313,19C
1267,04F
1595,43F
2841,38B
2090,59D
1421,01H
2704,10J
1455,47D
2851,25G
2811,50C
2769,59H
2421,04D
1333,43F
2948,06C
1578,00J
2134,48H
2003,13F
2284,35G
1791,02D
1726,52D
2676,55G
2472,24G
1786,03C
1114,05B
2822,51H
1716,33C
1089,44C
2020,59G
2598,31J
1282,17B
2293,48D
2566,32G
1313,58F
1239,07A
1219,18C
2000,48F
2525,45D
2354,12A
2132,30G
1123,35G
2810,13C
2445,32J
2126,56K
2917,34A
1656,22J
2597,42J
1062,25H
1775,35F
2557,11D
2686,44B
2951,55B
2251,36B
2491,26B
1238,41K
2442,24F
2407,23A
1635,44D
2312,48F
1083,34C
1650,07B
1069,11B
2768,07K
1727,09A
2998,18D
2161,49D
2435,52C
2388,20J
2768,50B
1913,04D
1616,03D
1766,20F
2872,29J
2401,08F
1550,10H
2604,57K
2929,16H
2488,44A
2593,12J
1757,04D
1036,08K
2292,17B
2762,22G
1375,22A
1341,32D
1926,20D
1390,14B
1813,20A
2828,31H
1610,18H
1305,28F
1562,05A
1419,31J
1918,28K
1804,09D
2106,57D
2423,33F
2578,56C
1845,39B
2672,45C
1207,51H
2205,02C
1997,16G
2741,06B
2743,01J
2404,20F
1501,54C
1725,30F
2120,22J
2980,23H
1634,59H
1280,27D
2364,41C
2843,44G
2485,45J
2678,49H
2413,37A
2641,41J
1517,46K
2688,56H
1393,22J
1656,04F
1148,00D
1131,09B
2754,03J
1611,52A
2059,24B
2248,45K
1533,23J
2578,33J
2978,04B
2696,46J
2367,46H
1651,08G
1529,37H
2725,58K
2976,53A
2773,38K
1045,47K
2458,31K
1614,46D
1878,50H
1667,06D
1195,38H
2505,44J
1301,42F
1572,15C
1004,05H
2869,30C
2915,28K
2189,43H
1830,09G
2119,44C
1798,29J
1914,41J
1837,30C
2805,31C
2311,45B
2519,55J
2579,03G
1066,42C
1029,24A
2520,46G
2766,34K
2014,22B
2916,39F
1178,05B
1283,41H
2940,36D
1703,01A
2936,52F
2002,23J
1817,27A
1135,06F
2186,25F
2557,42C
1439,09B
2664,32G
2165,20J
1065,06A
2894,19D
1859,09J
2971,28A
2014,15D
1996,10G
2493,12F
1201,17K
2748,45D
2351,00C
2825,14H
2688,14B
1360,09C
1215,34B
2417,31J
2768,17A
1205,57G
2494,15A
1820,31J
2131,16A
2386,14G
2062,43A
2459,33F
2473,51H
1791,03B
1866,01K
2735,49F
2989,16H
2354,10D
2175,01A
1525,00K
1091,01F
1991,07D
2816,11G
2480,41D
1126,02B
