FlightNumber,SeatNumber,Price,Status,Class,PassengerID
1440586274,55F,1840.78,InFlight,Economy,558041551
850246723,52A,9833.32,Landed,Economy,930089482
736173140,40C,7531.62,Landed,Economy,528624204
1687930932,28F,5132.47,Booked,Economy,306591808
199204264,20F,3898.31,Booked,Business,415377631
496572428,20J,8154.1,CheckedIn,Business,622151769
1458742329,30F,4375.18,Cancelled,Economy,557675104
648269835,34D,2610.28,Booked,Economy,280449371
806097324,17F,1673.73,CheckedIn,Business,228537754
32159977,58A,8087.52,Boarded,Economy,737575194
1428052455,45A,7422.68,Boarded,Economy,900463709
164145017,14B,9401.54,Cancelled,Business,105115011
1770101223,32C,1443.11,Landed,Economy,883026237
1310732147,48G,1997.34,CheckedIn,Economy,470884433
1137674334,42G,6148.31,Cancelled,Economy,557341711
1100615509,12H,5363.95,Booked,Business,253917400
1127350415,58B,4328.57,Booked,Economy,632700426
223064912,02K,9821.62,InFlight,First,908816633
1586773908,20D,6905.57,Cancelled,Business,573841822
287783928,06H,6306.35,Boarded,First,735833550
63163243,27A,4685.93,InFlight,Economy,463881671
546628872,27C,2849.43,InFlight,Economy,549226375
396956965,33K,5266.77,Booked,Economy,712663873
713179070,51F,3423.54,InFlight,Economy,275303511
137610445,00G,6145.81,InFlight,First,121438790
1751635220,41J,7474.22,CheckedIn,Economy,281032447
157768500,16C,4497.82,Cancelled,Business,226823031
568575112,14H,879.23,NoShow,Business,554503299
552471764,28A,9457.17,Boarded,Economy,781598384
62256561,13A,7117.44,Landed,Business,394806316
1769000110,50C,2372.17,InFlight,Economy,776538778
2006227618,37J,158.17,CheckedIn,Economy,691358104
1956572557,41G,2150.98,Booked,Economy,342766908
21687847,20G,5673.59,Landed,Business,844403718
1563548814,36F,6733.56,Booked,Economy,820253202
1970743334,29B,7479.96,Cancelled,Economy,203827524
757492940,26J,2135.55,NoShow,Economy,994886500
2065527168,08A,4121.29,Cancelled,First,543614409
1323067995,52J,7568.82,Landed,Economy,800025108
709544968,26G,1271.31,Boarded,Economy,937166011
1671306815,18A,4349.36,Landed,Business,788536346
1418278063,48B,6429.7,Booked,Economy,144996985
850960634,55J,3192.25,CheckedIn,Economy,296760140
1771182266,06F,9790.28,NoShow,First,641308353
2137105290,21D,3556.37,Cancelled,EconPlus,524516359
1385514249,50G,6241.28,Booked,Economy,536190558
1069131894,35H,691.18,NoShow,Economy,741357448
2077997497,16F,3159.73,Landed,Business,171641420
600324453,08D,1129.63,Cancelled,First,983883201
1813704768,45D,4085.29,Landed,Economy,531593413
623416568,13G,5711.02,CheckedIn,Business,191909626
1305367818,25K,1668.03,Cancelled,Economy,135233708
1369696974,40C,810.74,InFlight,Economy,780391594
177244119,42J,8865.35,Boarded,Economy,755054648
2110182037,14K,4480.07,Cancelled,Business,934622364
999489602,33B,6681.63,Booked,Economy,839992306
524342036,15F,9143.61,NoShow,Business,449933624
1712678820,04B,1796.76,Landed,First,949720860
1098172866,20B,7811.46,NoShow,Business,324535507
1989766934,01B,1006.86,NoShow,First,996076820
1783244836,24J,5389.97,Booked,Economy,497943009
1338304031,42A,8926.49,Booked,Economy,730060425
1870267130,33D,930.93,Boarded,Economy,309752293
1114070846,34K,3502.75,Boarded,Economy,873405828
708985656,34H,4752.48,CheckedIn,Economy,811888329
1583480472,45C,8136.77,Landed,Economy,340909727
1848444919,27G,1887.46,CheckedIn,Economy,107785330
979666396,00C,7939.21,NoShow,First,271745827
225187360,34D,1464.94,NoShow,Economy,574750930
528839001,11G,475.49,Landed,Business,667607843
1865321504,25G,4901.6,InFlight,Economy,555802343
1531981199,54A,700.69,Booked,Economy,132822827
1761196485,24J,3332.58,Cancelled,Economy,862163773
1984461164,35K,8085.28,Landed,Economy,279925861
657359063,31A,2777.47,Landed,Economy,871862628
106975268,26F,8822.16,Boarded,Economy,938380425
1173611531,09J,8659.0,Cancelled,First,582276652
950604351,37A,306.56,Cancelled,Economy,776812037
505744169,52F,9642.31,CheckedIn,Economy,352004960
1352481241,30A,216.16,Boarded,Economy,663069003
513654365,14J,4078.9,Cancelled,Business,879452806
540981369,09G,3558.83,Boarded,First,638093548
328848583,32A,1734.44,NoShow,Economy,270719906
180431550,24B,797.3,Booked,Economy,678836776
1825424918,35A,470.8,Cancelled,Economy,442555769
237760839,19F,4639.11,InFlight,Business,434944503
787216242,09D,9628.35,InFlight,First,855640081
1255991797,32C,888.22,Landed,Economy,623933742
1827205272,54F,2224.64,InFlight,Economy,806255376
1898129377,47D,3311.14,Booked,Economy,463779047
1490980312,36K,8708.04,Landed,Economy,256777838
723055831,47G,4335.95,Landed,Economy,607045791
1696996932,51D,5904.19,InFlight,Economy,337570913
285346795,54B,6563.13,Booked,Economy,844025558
607576492,37B,9135.44,InFlight,Economy,720243076
2081096675,47B,4641.23,NoShow,Economy,189457753
944556042,56G,1348.87,InFlight,Economy,307235332
1626705630,15A,4186.54,InFlight,Business,585015887
472707623,49D,658.78,CheckedIn,Economy,861400513
948830482,05G,3983.69,CheckedIn,First,329286943
687798099,09B,3384.7,InFlight,First,963649550
509420846,50A,1361.35,CheckedIn,Economy,932490844
281956379,03G,5091.87,Cancelled,First,844178144
1602466917,20H,7675.94,Booked,Business,543591055
724433018,34G,5736.13,Cancelled,Economy,911098541
1067342492,34K,902.98,Cancelled,Economy,380117930
1265175885,04K,2167.1,CheckedIn,First,266490570
834457730,34G,6405.79,Boarded,Economy,970285110
483862879,16K,6351.95,Boarded,Business,182532523
770908415,14H,8970.09,Landed,Business,201396339
1745097839,52K,3680.35,Booked,Economy,627598654
158946174,24H,7453.47,NoShow,Economy,650648013
2134424374,15K,1289.18,Booked,Business,114039790
1348439670,53C,2872.79,InFlight,Economy,874746684
909953268,15B,8258.16,Cancelled,Business,925707363
781832025,54C,4281.22,CheckedIn,Economy,737484311
1281338232,40C,9871.2,Cancelled,Economy,303102850
1063994651,25G,3242.41,Booked,Economy,162088297
1929533957,24J,6274.17,NoShow,Economy,901174275
544071029,36H,222.22,Landed,Economy,592756152
2144121016,13G,708.28,Booked,Business,478556489
1206958224,29K,3165.16,CheckedIn,Economy,677753626
25780966,12G,6025.6,Cancelled,Business,618919443
1592150681,47C,7561.46,CheckedIn,Economy,873243594
833891753,48H,2925.98,Booked,Economy,711459501
595250287,50B,3575.7,Landed,Economy,721690371
2127056064,56B,5701.6,CheckedIn,Economy,928342236
734854452,01K,5927.13,Booked,First,723521665
1860661466,45K,1457.4,NoShow,Economy,790776211
290673669,52J,8752.27,Boarded,Economy,309283354
961014006,53G,3116.37,CheckedIn,Economy,104793510
1786140920,53F,4752.24,NoShow,Economy,694856638
1929445340,38J,8395.65,Landed,Economy,929619164
2146188702,20B,4977.46,NoShow,Business,269175708
560914004,17D,3392.99,InFlight,Business,715552579
1634621850,17B,2476.99,Cancelled,Business,888375190
2031544369,37J,7468.93,CheckedIn,Economy,801252625
1833773938,13F,8394.2,CheckedIn,Business,154083857
866169581,49G,9803.34,Booked,Economy,601732564
69301573,32H,8210.15,Cancelled,Economy,104122206
236844584,20H,9733.55,Landed,Business,678992832
1160648929,16B,5755.1,Booked,Business,584922252
1190607150,47G,4057.11,Booked,Economy,132394662
1496291906,01H,4187.41,Cancelled,First,118300108
507162996,17G,472.26,Booked,Business,378141256
1679218122,33D,2111.88,Landed,Economy,880956375
133711100,44D,2095.32,NoShow,Economy,665455043
658698159,16J,2223.04,NoShow,Business,574608852
1077394867,01K,6282.11,CheckedIn,First,227230740
1411604397,22K,8246.58,Landed,EconPlus,407646264
2135846176,17A,611.98,Landed,Business,847832343
1502763805,28G,7024.93,Landed,Economy,289586375
586645290,26F,9396.41,InFlight,Economy,994174254
322058422,28D,5839.13,Booked,Economy,741378656
496364174,27J,5167.65,InFlight,Economy,384857769
2132528214,58C,6213.76,Booked,Economy,592737260
1120152364,44B,9539.0,CheckedIn,Economy,726448016
830135324,44K,4538.34,InFlight,Economy,140638569
863464535,09F,5440.64,Landed,First,862560033
922081496,11G,1696.59,Boarded,Business,473254042
104939411,25J,7406.31,InFlight,Economy,635531742
1688460486,50F,8311.05,CheckedIn,Economy,439359280
831276563,57C,9431.26,Boarded,Economy,106876240
1317254833,35G,8837.36,CheckedIn,Economy,601284187
651393803,38J,2611.32,CheckedIn,Economy,917862653
756994466,05A,9315.38,Booked,First,742963375
2005404129,06G,9099.54,CheckedIn,First,227306177
1297334912,00F,3899.6,Landed,First,667863120
16122538,32G,3325.53,InFlight,Economy,755973417
457716560,32C,809.6,InFlight,Economy,335981849
2054885374,19J,4870.75,Landed,Business,417626264
515070699,34D,268.7,Boarded,Economy,214414736
